year,month,total_gross,total_deductions,total_net,payslips
2025,8,9693220.0,1403243.0,8289977.0,165
2025,9,9918820.0,1491581.0,8427239.0,169
2025,10,9990190.0,1601966.0,8388224.0,170
2025,11,10199480.0,1594107.0,8605373.0,173
2025,12,10395070.0,1550466.0,8844604.0,177
2026,1,10342830.0,1481484.0,8861346.0,176
2026,2,10391020.0,1504432.0,8886588.0,177
2026,3,10414810.0,1514153.0,8900657.0,177
2026,4,11316170.0,1684725.0,9631445.0,179
2026,5,11364140.0,1730496.0,9633645.0,180
2026,6,11336300.0,1758679.0,9577621.0,180
2026,7,11215240.0,1548661.0,9666579.0,178
