employee_id,year,month,absent,half-day,leave,present,date_key,days_recorded,absenteeism_rate_pct
EMP0001,2025,8,0,1,0,25,20250801,26,1.92
EMP0001,2025,9,0,0,3,23,20250901,26,0.0
EMP0001,2025,10,0,0,3,24,20251001,27,0.0
EMP0001,2025,11,0,1,0,24,20251101,25,2.0
EMP0001,2025,12,0,0,1,26,20251201,27,0.0
EMP0001,2026,1,0,0,0,27,20260101,27,0.0
EMP0001,2026,2,0,0,0,24,20260201,24,0.0
EMP0001,2026,3,0,0,0,26,20260301,26,0.0
EMP0001,2026,4,1,0,0,25,20260401,26,3.85
EMP0001,2026,5,0,0,0,26,20260501,26,0.0
EMP0001,2026,6,1,0,1,24,20260601,26,3.85
EMP0001,2026,7,0,0,0,16,20260701,16,0.0
EMP0002,2025,10,0,0,0,13,20251001,13,0.0
EMP0002,2025,11,0,2,0,23,20251101,25,4.0
EMP0002,2025,12,0,0,0,27,20251201,27,0.0
EMP0002,2026,1,0,2,1,24,20260101,27,3.7
EMP0002,2026,2,0,1,1,22,20260201,24,2.08
EMP0002,2026,3,0,0,0,26,20260301,26,0.0
EMP0002,2026,4,0,0,0,26,20260401,26,0.0
EMP0002,2026,5,0,0,1,25,20260501,26,0.0
EMP0002,2026,6,1,1,0,24,20260601,26,5.77
EMP0002,2026,7,0,0,0,16,20260701,16,0.0
EMP0003,2025,8,2,2,0,22,20250801,26,11.54
EMP0003,2025,9,1,1,1,23,20250901,26,5.77
EMP0003,2025,10,4,0,1,22,20251001,27,14.81
EMP0003,2025,11,0,2,0,23,20251101,25,4.0
EMP0003,2025,12,0,1,1,25,20251201,27,1.85
EMP0003,2026,1,3,1,0,23,20260101,27,12.96
EMP0003,2026,2,2,1,0,21,20260201,24,10.42
EMP0003,2026,3,1,1,0,24,20260301,26,5.77
EMP0003,2026,4,0,1,0,25,20260401,26,1.92
EMP0003,2026,5,4,0,1,21,20260501,26,15.38
EMP0003,2026,6,2,0,3,21,20260601,26,7.69
EMP0003,2026,7,0,0,0,16,20260701,16,0.0
EMP0004,2025,8,0,1,1,24,20250801,26,1.92
EMP0004,2025,9,0,2,1,23,20250901,26,3.85
EMP0004,2025,10,0,1,1,25,20251001,27,1.85
EMP0004,2025,11,1,1,1,22,20251101,25,6.0
EMP0004,2025,12,1,2,0,24,20251201,27,7.41
EMP0004,2026,1,0,1,3,23,20260101,27,1.85
EMP0004,2026,2,1,0,4,19,20260201,24,4.17
EMP0004,2026,3,1,2,0,23,20260301,26,7.69
EMP0004,2026,4,1,1,1,23,20260401,26,5.77
EMP0004,2026,5,0,0,2,24,20260501,26,0.0
EMP0004,2026,6,0,1,1,24,20260601,26,1.92
EMP0004,2026,7,0,1,0,15,20260701,16,3.12
EMP0005,2025,8,0,1,2,23,20250801,26,1.92
EMP0005,2025,9,1,0,0,25,20250901,26,3.85
EMP0005,2025,10,3,0,0,24,20251001,27,11.11
EMP0005,2025,11,4,0,1,20,20251101,25,16.0
EMP0005,2025,12,0,1,0,26,20251201,27,1.85
EMP0005,2026,1,0,0,0,27,20260101,27,0.0
EMP0005,2026,2,0,0,0,24,20260201,24,0.0
EMP0005,2026,3,0,0,0,26,20260301,26,0.0
EMP0005,2026,4,0,1,0,25,20260401,26,1.92
EMP0005,2026,5,2,0,0,24,20260501,26,7.69
EMP0005,2026,6,0,1,1,24,20260601,26,1.92
EMP0005,2026,7,0,1,0,15,20260701,16,3.12
EMP0006,2025,8,0,0,1,25,20250801,26,0.0
EMP0006,2025,9,0,0,2,24,20250901,26,0.0
EMP0006,2025,10,0,0,1,26,20251001,27,0.0
EMP0006,2025,11,1,3,0,21,20251101,25,10.0
EMP0006,2025,12,0,0,0,27,20251201,27,0.0
EMP0006,2026,1,2,0,1,24,20260101,27,7.41
EMP0006,2026,2,1,0,0,23,20260201,24,4.17
EMP0006,2026,3,0,0,0,26,20260301,26,0.0
EMP0006,2026,4,0,0,0,26,20260401,26,0.0
EMP0006,2026,5,1,0,0,25,20260501,26,3.85
EMP0006,2026,6,1,0,0,25,20260601,26,3.85
EMP0006,2026,7,0,0,0,16,20260701,16,0.0
EMP0007,2025,8,0,1,0,25,20250801,26,1.92
EMP0007,2025,9,0,1,1,24,20250901,26,1.92
EMP0007,2025,10,1,3,1,22,20251001,27,9.26
EMP0007,2025,11,2,2,2,19,20251101,25,12.0
EMP0007,2025,12,2,0,1,24,20251201,27,7.41
EMP0007,2026,1,0,0,0,27,20260101,27,0.0
EMP0007,2026,2,0,2,1,21,20260201,24,4.17
EMP0007,2026,3,0,1,0,25,20260301,26,1.92
EMP0007,2026,4,3,1,3,19,20260401,26,13.46
EMP0007,2026,5,1,0,0,25,20260501,26,3.85
EMP0007,2026,6,2,1,0,23,20260601,26,9.62
EMP0007,2026,7,1,0,0,15,20260701,16,6.25
EMP0008,2025,8,0,1,1,24,20250801,26,1.92
EMP0008,2025,9,1,0,2,23,20250901,26,3.85
EMP0008,2025,10,3,1,0,23,20251001,27,12.96
EMP0008,2025,11,1,0,0,24,20251101,25,4.0
EMP0008,2025,12,1,0,0,26,20251201,27,3.7
EMP0008,2026,1,1,0,1,25,20260101,27,3.7
EMP0008,2026,2,0,0,0,24,20260201,24,0.0
EMP0008,2026,3,0,0,1,25,20260301,26,0.0
EMP0008,2026,4,1,0,0,25,20260401,26,3.85
EMP0008,2026,5,0,1,1,24,20260501,26,1.92
EMP0008,2026,6,0,0,1,25,20260601,26,0.0
EMP0008,2026,7,0,2,0,14,20260701,16,6.25
EMP0009,2025,8,1,1,1,23,20250801,26,5.77
EMP0009,2025,9,0,0,0,26,20250901,26,0.0
EMP0009,2025,10,0,1,2,24,20251001,27,1.85
EMP0009,2025,11,1,0,2,22,20251101,25,4.0
EMP0009,2025,12,3,0,1,23,20251201,27,11.11
EMP0009,2026,1,0,1,0,26,20260101,27,1.85
EMP0009,2026,2,0,1,0,23,20260201,24,2.08
EMP0009,2026,3,2,1,0,23,20260301,26,9.62
EMP0009,2026,4,0,0,0,26,20260401,26,0.0
EMP0009,2026,5,0,1,1,24,20260501,26,1.92
EMP0009,2026,6,0,1,2,23,20260601,26,1.92
EMP0009,2026,7,1,0,2,13,20260701,16,6.25
EMP0010,2025,8,0,0,1,25,20250801,26,0.0
EMP0010,2025,9,0,0,0,26,20250901,26,0.0
EMP0010,2025,10,0,1,0,26,20251001,27,1.85
EMP0010,2025,11,0,0,0,25,20251101,25,0.0
EMP0010,2025,12,0,0,0,21,20251201,21,0.0
EMP0011,2025,8,1,2,0,23,20250801,26,7.69
EMP0011,2025,9,2,0,0,24,20250901,26,7.69
EMP0011,2025,10,0,0,1,26,20251001,27,0.0
EMP0011,2025,11,1,0,1,23,20251101,25,4.0
EMP0011,2025,12,1,1,0,25,20251201,27,5.56
EMP0011,2026,1,1,1,1,24,20260101,27,5.56
EMP0011,2026,2,1,0,0,23,20260201,24,4.17
EMP0011,2026,3,1,0,0,25,20260301,26,3.85
EMP0011,2026,4,1,1,1,23,20260401,26,5.77
EMP0011,2026,5,0,1,0,25,20260501,26,1.92
EMP0011,2026,6,1,0,0,25,20260601,26,3.85
EMP0011,2026,7,2,1,0,13,20260701,16,15.62
EMP0012,2025,8,0,2,1,23,20250801,26,3.85
EMP0012,2025,9,0,0,2,24,20250901,26,0.0
EMP0012,2025,10,1,0,0,26,20251001,27,3.7
EMP0012,2025,11,0,0,0,25,20251101,25,0.0
EMP0012,2025,12,1,1,1,24,20251201,27,5.56
EMP0012,2026,1,0,1,1,25,20260101,27,1.85
EMP0012,2026,2,0,0,0,24,20260201,24,0.0
EMP0012,2026,3,0,0,0,26,20260301,26,0.0
EMP0012,2026,4,1,0,2,23,20260401,26,3.85
EMP0012,2026,5,0,1,1,24,20260501,26,1.92
EMP0012,2026,6,0,0,0,26,20260601,26,0.0
EMP0012,2026,7,0,0,0,16,20260701,16,0.0
EMP0013,2025,8,0,1,1,24,20250801,26,1.92
EMP0013,2025,9,2,0,1,23,20250901,26,7.69
EMP0013,2025,10,1,1,0,25,20251001,27,5.56
EMP0013,2025,11,1,0,0,24,20251101,25,4.0
EMP0013,2025,12,2,0,0,25,20251201,27,7.41
EMP0013,2026,1,0,0,0,27,20260101,27,0.0
EMP0013,2026,2,0,0,0,24,20260201,24,0.0
EMP0013,2026,3,0,0,0,26,20260301,26,0.0
EMP0013,2026,4,0,0,1,25,20260401,26,0.0
EMP0013,2026,5,1,1,1,23,20260501,26,5.77
EMP0013,2026,6,1,1,0,24,20260601,26,5.77
EMP0013,2026,7,2,0,0,14,20260701,16,12.5
EMP0014,2025,8,0,1,0,25,20250801,26,1.92
EMP0014,2025,9,0,0,1,7,20250901,8,0.0
EMP0015,2025,8,0,1,0,25,20250801,26,1.92
EMP0015,2025,9,1,1,0,24,20250901,26,5.77
EMP0015,2025,10,2,1,0,24,20251001,27,9.26
EMP0015,2025,11,1,2,0,22,20251101,25,8.0
EMP0015,2025,12,3,3,0,21,20251201,27,16.67
EMP0015,2026,1,1,2,2,22,20260101,27,7.41
EMP0015,2026,2,1,0,0,23,20260201,24,4.17
EMP0015,2026,3,0,1,1,24,20260301,26,1.92
EMP0015,2026,4,0,0,0,26,20260401,26,0.0
EMP0015,2026,5,1,2,0,23,20260501,26,7.69
EMP0015,2026,6,0,1,1,24,20260601,26,1.92
EMP0015,2026,7,0,1,0,15,20260701,16,3.12
EMP0016,2025,8,0,1,0,25,20250801,26,1.92
EMP0016,2025,9,0,2,0,24,20250901,26,3.85
EMP0016,2025,10,1,0,0,26,20251001,27,3.7
EMP0016,2025,11,1,1,2,21,20251101,25,6.0
EMP0016,2025,12,3,0,0,24,20251201,27,11.11
EMP0016,2026,1,0,0,0,27,20260101,27,0.0
EMP0016,2026,2,1,0,0,23,20260201,24,4.17
EMP0016,2026,3,1,0,0,25,20260301,26,3.85
EMP0016,2026,4,1,0,0,25,20260401,26,3.85
EMP0016,2026,5,1,1,2,22,20260501,26,5.77
EMP0016,2026,6,0,1,1,24,20260601,26,1.92
EMP0016,2026,7,1,0,0,15,20260701,16,6.25
EMP0017,2025,8,1,0,0,25,20250801,26,3.85
EMP0017,2025,9,0,0,4,22,20250901,26,0.0
EMP0017,2025,10,0,2,0,25,20251001,27,3.7
EMP0017,2025,11,0,2,0,23,20251101,25,4.0
EMP0017,2025,12,0,0,0,27,20251201,27,0.0
EMP0017,2026,1,0,0,0,27,20260101,27,0.0
EMP0017,2026,2,0,1,1,22,20260201,24,2.08
EMP0017,2026,3,0,1,0,25,20260301,26,1.92
EMP0017,2026,4,1,2,1,22,20260401,26,7.69
EMP0017,2026,5,1,1,0,24,20260501,26,5.77
EMP0017,2026,6,0,2,1,23,20260601,26,3.85
EMP0017,2026,7,1,1,0,14,20260701,16,9.38
EMP0018,2025,8,0,0,1,25,20250801,26,0.0
EMP0018,2025,9,1,0,0,25,20250901,26,3.85
EMP0018,2025,10,3,0,0,24,20251001,27,11.11
EMP0018,2025,11,1,1,2,21,20251101,25,6.0
EMP0018,2025,12,0,1,0,26,20251201,27,1.85
EMP0018,2026,1,2,0,1,24,20260101,27,7.41
EMP0018,2026,2,0,0,1,23,20260201,24,0.0
EMP0018,2026,3,1,0,1,24,20260301,26,3.85
EMP0018,2026,4,0,1,1,24,20260401,26,1.92
EMP0018,2026,5,0,1,0,25,20260501,26,1.92
EMP0018,2026,6,0,1,0,25,20260601,26,1.92
EMP0018,2026,7,0,4,1,11,20260701,16,12.5
EMP0019,2025,8,0,0,0,26,20250801,26,0.0
