date_key,date,year,month,month_name,quarter,day_of_week,is_working_day
20250801,2025-08-01,2025,8,August,3,Friday,True
20250802,2025-08-02,2025,8,August,3,Saturday,True
20250803,2025-08-03,2025,8,August,3,Sunday,False
20250804,2025-08-04,2025,8,August,3,Monday,True
20250805,2025-08-05,2025,8,August,3,Tuesday,True
20250806,2025-08-06,2025,8,August,3,Wednesday,True
20250807,2025-08-07,2025,8,August,3,Thursday,True
20250808,2025-08-08,2025,8,August,3,Friday,True
20250809,2025-08-09,2025,8,August,3,Saturday,True
20250810,2025-08-10,2025,8,August,3,Sunday,False
20250811,2025-08-11,2025,8,August,3,Monday,True
20250812,2025-08-12,2025,8,August,3,Tuesday,True
20250813,2025-08-13,2025,8,August,3,Wednesday,True
20250814,2025-08-14,2025,8,August,3,Thursday,True
20250815,2025-08-15,2025,8,August,3,Friday,True
20250816,2025-08-16,2025,8,August,3,Saturday,True
20250817,2025-08-17,2025,8,August,3,Sunday,False
20250818,2025-08-18,2025,8,August,3,Monday,True
20250819,2025-08-19,2025,8,August,3,Tuesday,True
20250820,2025-08-20,2025,8,August,3,Wednesday,True
20250821,2025-08-21,2025,8,August,3,Thursday,True
20250822,2025-08-22,2025,8,August,3,Friday,True
20250823,2025-08-23,2025,8,August,3,Saturday,True
20250824,2025-08-24,2025,8,August,3,Sunday,False
20250825,2025-08-25,2025,8,August,3,Monday,True
20250826,2025-08-26,2025,8,August,3,Tuesday,True
20250827,2025-08-27,2025,8,August,3,Wednesday,True
20250828,2025-08-28,2025,8,August,3,Thursday,True
20250829,2025-08-29,2025,8,August,3,Friday,True
20250830,2025-08-30,2025,8,August,3,Saturday,True
20250831,2025-08-31,2025,8,August,3,Sunday,False
20250901,2025-09-01,2025,9,September,3,Monday,True
20250902,2025-09-02,2025,9,September,3,Tuesday,True
20250903,2025-09-03,2025,9,September,3,Wednesday,True
20250904,2025-09-04,2025,9,September,3,Thursday,True
20250905,2025-09-05,2025,9,September,3,Friday,True
20250906,2025-09-06,2025,9,September,3,Saturday,True
20250907,2025-09-07,2025,9,September,3,Sunday,False
20250908,2025-09-08,2025,9,September,3,Monday,True
20250909,2025-09-09,2025,9,September,3,Tuesday,True
20250910,2025-09-10,2025,9,September,3,Wednesday,True
20250911,2025-09-11,2025,9,September,3,Thursday,True
20250912,2025-09-12,2025,9,September,3,Friday,True
20250913,2025-09-13,2025,9,September,3,Saturday,True
20250914,2025-09-14,2025,9,September,3,Sunday,False
20250915,2025-09-15,2025,9,September,3,Monday,True
20250916,2025-09-16,2025,9,September,3,Tuesday,True
20250917,2025-09-17,2025,9,September,3,Wednesday,True
20250918,2025-09-18,2025,9,September,3,Thursday,True
20250919,2025-09-19,2025,9,September,3,Friday,True
20250920,2025-09-20,2025,9,September,3,Saturday,True
20250921,2025-09-21,2025,9,September,3,Sunday,False
20250922,2025-09-22,2025,9,September,3,Monday,True
20250923,2025-09-23,2025,9,September,3,Tuesday,True
20250924,2025-09-24,2025,9,September,3,Wednesday,True
20250925,2025-09-25,2025,9,September,3,Thursday,True
20250926,2025-09-26,2025,9,September,3,Friday,True
20250927,2025-09-27,2025,9,September,3,Saturday,True
