employeeId,department,month,year,workingDays,presentDays,absentDays,halfDays,leaveDays,basicSalary,da,hra,otherAllowances,grossSalary,pf,professionalTax,lopDeduction,totalDeductions,netSalary,status
EMP0001,Finance,8,2025,26,25,0,1,0,61500,7380.0,6150.0,1500,76530.0,8265.6,200,1471.73,9937.33,66592.67,paid
EMP0001,Finance,9,2025,26,23,0,0,3,61500,7380.0,6150.0,1500,76530.0,8265.6,200,0.0,8465.6,68064.4,paid
EMP0001,Finance,10,2025,27,24,0,0,3,61500,7380.0,6150.0,1500,76530.0,8265.6,200,0.0,8465.6,68064.4,paid
EMP0001,Finance,11,2025,25,24,0,1,0,61500,7380.0,6150.0,1500,76530.0,8265.6,200,1530.6,9996.2,66533.8,paid
EMP0001,Finance,12,2025,27,26,0,0,1,61500,7380.0,6150.0,1500,76530.0,8265.6,200,0.0,8465.6,68064.4,paid
EMP0001,Finance,1,2026,27,27,0,0,0,61500,7380.0,6150.0,1500,76530.0,8265.6,200,0.0,8465.6,68064.4,paid
EMP0001,Finance,2,2026,24,24,0,0,0,61500,7380.0,6150.0,1500,76530.0,8265.6,200,0.0,8465.6,68064.4,paid
EMP0001,Finance,3,2026,26,26,0,0,0,61500,7380.0,6150.0,1500,76530.0,8265.6,200,0.0,8465.6,68064.4,paid
EMP0001,Finance,4,2026,26,25,1,0,0,68000,8160.0,6800.0,1500,84460.0,9139.2,200,3248.46,12587.66,71872.34,paid
EMP0001,Finance,5,2026,26,26,0,0,0,66500,7980.0,6650.0,1500,82630.0,8937.6,200,0.0,9137.6,73492.4,paid
EMP0001,Finance,6,2026,26,24,1,0,1,68500,8220.0,6850.0,1500,85070.0,9206.4,200,3271.92,12678.32,72391.68,paid
EMP0001,Finance,7,2026,27,27,0,0,0,66500,7980.0,6650.0,1500,82630.0,8937.6,200,0.0,9137.6,73492.4,generated
EMP0002,Finance,10,2025,27,27,0,0,0,48000,5760.0,4800.0,2000,60560.0,6451.2,200,0.0,6651.2,53908.8,paid
EMP0002,Finance,11,2025,25,23,0,2,0,48000,5760.0,4800.0,2000,60560.0,6451.2,200,2422.4,9073.6,51486.4,paid
EMP0002,Finance,12,2025,27,27,0,0,0,48000,5760.0,4800.0,2000,60560.0,6451.2,200,0.0,6651.2,53908.8,paid
EMP0002,Finance,1,2026,27,24,0,2,1,48000,5760.0,4800.0,2000,60560.0,6451.2,200,2242.96,8894.16,51665.84,paid
EMP0002,Finance,2,2026,24,22,0,1,1,48000,5760.0,4800.0,2000,60560.0,6451.2,200,1261.67,7912.87,52647.13,paid
EMP0002,Finance,3,2026,26,26,0,0,0,48000,5760.0,4800.0,2000,60560.0,6451.2,200,0.0,6651.2,53908.8,paid
EMP0002,Finance,4,2026,26,26,0,0,0,48000,5760.0,4800.0,2000,60560.0,6451.2,200,0.0,6651.2,53908.8,paid
EMP0002,Finance,5,2026,26,25,0,0,1,48000,5760.0,4800.0,2000,60560.0,6451.2,200,0.0,6651.2,53908.8,paid
EMP0002,Finance,6,2026,26,24,1,1,0,48000,5760.0,4800.0,2000,60560.0,6451.2,200,3493.85,10145.05,50414.95,paid
EMP0002,Finance,7,2026,27,27,0,0,0,48000,5760.0,4800.0,2000,60560.0,6451.2,200,0.0,6651.2,53908.8,generated
EMP0003,Sales,8,2025,26,22,2,2,0,46500,5580.0,4650.0,1500,58230.0,6249.6,200,6718.85,13168.45,45061.55,paid
EMP0003,Sales,9,2025,26,23,1,1,1,46500,5580.0,4650.0,1500,58230.0,6249.6,200,3359.42,9809.02,48420.98,paid
EMP0003,Sales,10,2025,27,22,4,0,1,46500,5580.0,4650.0,1500,58230.0,6249.6,200,8626.67,15076.27,43153.73,paid
EMP0003,Sales,11,2025,25,23,0,2,0,46500,5580.0,4650.0,1500,58230.0,6249.6,200,2329.2,8778.8,49451.2,paid
EMP0003,Sales,12,2025,27,25,0,1,1,46500,5580.0,4650.0,1500,58230.0,6249.6,200,1078.33,7527.93,50702.07,paid
EMP0003,Sales,1,2026,27,23,3,1,0,46500,5580.0,4650.0,1500,58230.0,6249.6,200,7548.33,13997.93,44232.07,paid
